日期,股票,权益,再平衡,持有数量,持有成本,现金价值,当日盈亏,当日收益率,资产占比
2016/06/17,511880,250792.35,,2238.28,112.047,250792.35,55.96,0.0223%,24.7355%
2016/06/17,518880,263285.49,,96974.4,2.715,263285.49,-6012.41,-2.2326%,25.9677%
2016/06/17,总结,1013897.57,0,,,,-4874.8,-0.4785%,
2016/06/20,510300,247215.53,,75255.87,3.285,247215.53,75.26,0.0305%,24.3812%
2016/06/20,511010,252454.86,,2245.98,112.403,252454.86,-224.6,-0.0889%,24.8979%
2016/06/20,511880,250810.26,,2238.28,112.055,250810.26,17.91,0.0071%,24.7357%
2016/06/20,518880,263479.44,,96974.4,2.717,263479.44,193.95,0.0737%,25.9852%
2016/06/20,总结,1013960.09,0,,,,62.52,0.0062%,
2016/06/21,510300,246688.74,,75255.87,3.278,246688.74,-526.79,-0.2131%,24.3526%
2016/06/21,511010,252486.3,,2245.98,112.417,252486.3,31.44,0.0125%,24.9249%
2016/06/21,511880,250819.21,,2238.28,112.059,250819.21,8.95,0.0036%,24.7603%
2016/06/21,518880,262994.57,,96974.4,2.712,262994.57,-484.87,-0.1840%,25.9622%
2016/06/21,总结,1012988.82,0,,,,-971.27,-0.0958%,
2016/06/22,510300,248118.6,,75255.87,3.297,248118.6,1429.86,0.5796%,24.5423%
2016/06/22,511010,252632.29,,2245.98,112.482,252632.29,145.99,0.0578%,24.9888%
2016/06/22,511880,250825.92,,2238.28,112.062,250825.92,6.71,0.0027%,24.8101%
2016/06/22,518880,259406.52,,96974.4,2.675,259406.52,-3588.05,-1.3643%,25.6588%
2016/06/22,总结,1010983.33,0,,,,-2005.49,-0.1980%,
2016/06/23,510300,247366.04,,75255.87,3.287,247366.04,-752.56,-0.3033%,24.4687%
2016/06/23,511010,252753.57,,2245.98,112.536,252753.57,121.28,0.0480%,25.0017%
2016/06/23,511880,250839.35,,2238.28,112.068,250839.35,13.43,0.0054%,24.8123%
2016/06/23,518880,259988.36,,96974.4,2.681,259988.36,581.85,0.2243%,25.7173%
2016/06/23,总结,1010947.33,0,,,,-36.0,-0.0036%,
2016/06/24,510300,244882.6,,75255.87,3.254,244882.6,-2483.44,-1.0040%,23.9870%
2016/06/24,511010,253128.65,,2245.98,112.703,253128.65,375.08,0.1484%,24.7947%
2016/06/24,511880,250872.93,,2238.28,112.083,250872.93,33.57,0.0134%,24.5738%
2016/06/24,518880,272013.19,,96974.4,2.805,272013.19,12024.83,4.6251%,26.6445%
2016/06/24,总结,1020897.37,0,,,,9950.04,0.9842%,
2016/06/27,510300,247817.58,,75255.87,3.293,247817.58,2934.98,1.1985%,24.1412%
2016/06/27,511010,253647.47,,2245.98,112.934,253647.47,518.82,0.2050%,24.7091%
2016/06/27,511880,250825.92,,2238.28,112.062,250825.92,-47.0,-0.0187%,24.4342%
2016/06/27,518880,274243.6,,96974.4,2.828,274243.6,2230.41,0.8200%,26.7155%
2016/06/27,总结,1026534.58,0,,,,5637.21,0.5522%,
2016/06/28,510300,249021.67,,75255.87,3.309,249021.67,1204.09,0.4859%,24.2556%
2016/06/28,511010,253593.57,,2245.98,112.91,253593.57,-53.9,-0.0213%,24.7009%
2016/06/28,511880,250863.98,,2238.28,112.079,250863.98,38.05,0.0152%,24.4351%
2016/06/28,518880,273176.88,,96974.4,2.817,273176.88,-1066.72,-0.3890%,26.6084%
2016/06/28,总结,1026656.1,0,,,,121.52,0.0118%,
2016/06/29,510300,250075.26,,75255.87,3.323,250075.26,1053.58,0.4231%,24.3077%
2016/06/29,511010,253413.89,,2245.98,112.83,253413.89,-179.68,-0.0709%,24.6323%
2016/06/29,511880,250861.74,,2238.28,112.078,250861.74,-2.24,-0.0009%,24.3842%
2016/06/29,518880,274437.55,,96974.4,2.83,274437.55,1260.67,0.4615%,26.6758%
2016/06/29,总结,1028788.43,0,,,,2132.33,0.2077%,
2016/06/30,510300,250451.54,,75255.87,3.328,250451.54,376.28,0.1505%,24.3601%
2016/06/30,511010,253434.1,,2245.98,112.839,253434.1,20.21,0.0080%,24.6502%
2016/06/30,511880,250962.46,,2238.28,112.123,250962.46,100.72,0.0402%,24.4098%
2016/06/30,518880,273273.86,,96974.4,2.818,273273.86,-1163.69,-0.4240%,26.5799%
2016/06/30,总结,1028121.95,0,,,,-666.48,-0.0648%,
2016/07/01,510300,250225.77,,75255.87,3.325,250225.77,-225.77,-0.0901%,24.2349%
2016/07/01,511010,254087.68,,2245.98,113.13,254087.68,653.58,0.2579%,24.6090%
2016/07/01,511880,251034.08,,2238.28,112.155,251034.08,71.62,0.0285%,24.3132%
2016/07/01,518880,277152.83,,96974.4,2.858,277152.83,3878.98,1.4194%,26.8429%
2016/07/01,总结,1032500.37,0,,,,4378.41,0.4259%,
2016/07/04,510300,254214.33,,75255.87,3.378,254214.33,3988.56,1.5940%,24.4327%
2016/07/04,511010,254087.68,,2245.98,113.13,254087.68,0.0,0.0000%,24.4205%
2016/07/04,511880,251038.56,,2238.28,112.157,251038.56,4.48,0.0018%,24.1274%
2016/07/04,518880,281128.78,,96974.4,2.899,281128.78,3975.95,1.4346%,27.0194%
2016/07/04,总结,1040469.35,0,,,,7968.99,0.7718%,
2016/07/05,510300,254816.38,,75255.87,3.386,254816.38,602.05,0.2368%,24.4965%
2016/07/05,511010,254103.4,,2245.98,113.137,254103.4,15.72,0.0062%,24.4279%
2016/07/05,511880,251040.8,,2238.28,112.158,251040.8,2.24,0.0009%,24.1335%
2016/07/05,518880,280256.01,,96974.4,2.89,280256.01,-872.77,-0.3105%,26.9421%
2016/07/05,总结,1040216.59,0,,,,-252.76,-0.0243%,
2016/07/06,510300,256020.47,,75255.87,3.402,256020.47,1204.09,0.4725%,24.4461%
2016/07/06,511010,254406.61,,2245.98,113.272,254406.61,303.21,0.1193%,24.2920%
2016/07/06,511880,251076.61,,2238.28,112.174,251076.61,35.81,0.0143%,23.9740%
2016/07/06,518880,285783.55,,96974.4,2.947,285783.55,5527.54,1.9723%,27.2880%
2016/07/06,总结,1047287.25,0,,,,7070.65,0.6797%,
2016/07/07,510300,256321.49,,75255.87,3.406,256321.49,301.02,0.1176%,24.4864%
2016/07/07,511010,254651.42,,2245.98,113.381,254651.42,244.81,0.0962%,24.3268%
2016/07/07,511880,251103.47,,2238.28,112.186,251103.47,26.86,0.0107%,23.9879%
2016/07/07,518880,284716.83,,96974.4,2.936,284716.83,-1066.72,-0.3733%,27.1990%
2016/07/07,总结,1046793.22,0,,,,-494.03,-0.0472%,
2016/07/08,510300,255418.42,,75255.87,3.394,255418.42,-903.07,-0.3523%,24.4707%
2016/07/08,511010,254420.09,,2245.98,113.278,254420.09,-231.34,-0.0908%,24.3751%
2016/07/08,511880,251154.95,,2238.28,112.209,251154.95,51.48,0.0205%,24.0623%
2016/07/08,518880,282777.35,,96974.4,2.916,282777.35,-1939.49,-0.6812%,27.0919%
2016/07/08,总结,1043770.81,0,,,,-3022.42,-0.2887%,
2016/07/11,510300,256020.47,,75255.87,3.402,256020.47,602.05,0.2357%,24.4568%
2016/07/11,511010,254339.23,,2245.98,113.242,254339.23,-80.86,-0.0318%,24.2962%
2016/07/11,511880,251170.62,,2238.28,112.216,251170.62,15.67,0.0062%,23.9935%
2016/07/11,518880,285298.68,,96974.4,2.942,285298.68,2521.33,0.8916%,27.2536%
2016/07/11,总结,1046829.0,0,,,,3058.19,0.2930%,
2016/07/12,510300,262191.45,,75255.87,3.484,262191.45,6170.98,2.4103%,24.9545%
2016/07/12,511010,254238.16,,2245.98,113.197,254238.16,-101.07,-0.0397%,24.1975%
2016/07/12,511880,251181.81,,2238.28,112.221,251181.81,11.19,0.0045%,23.9066%
2016/07/12,518880,283068.27,,96974.4,2.919,283068.27,-2230.41,-0.7818%,26.9414%
2016/07/12,总结,1050679.7,0,,,,3850.69,0.3678%,
2016/07/13,510300,262718.24,,75255.87,3.491,262718.24,526.79,0.2009%,25.0574%
2016/07/13,511010,254112.39,,2245.98,113.141,254112.39,-125.77,-0.0495%,24.2366%
2016/07/13,511880,251186.29,,2238.28,112.223,251186.29,4.48,0.0018%,23.9575%
2016/07/13,518880,280449.96,,96974.4,2.892,280449.96,-2618.31,-0.9250%,26.7486%
2016/07/13,总结,1048466.88,0,,,,-2212.81,-0.2106%,
2016/07/14,510300,262341.96,,75255.87,3.486,262341.96,-376.28,-0.1432%,25.0744%
2016/07/14,511010,254179.77,,2245.98,113.171,254179.77,67.38,0.0265%,24.2943%
2016/07/14,511880,251222.1,,2238.28,112.239,251222.1,35.81,0.0143%,24.0116%
2016/07/14,518880,278510.47,,96974.4,2.872,278510.47,-1939.49,-0.6916%,26.6198%
2016/07/14,总结,1046254.3,0,,,,-2212.58,-0.2110%,
2016/07/15,510300,262642.99,,75255.87,3.49,262642.99,301.02,0.1147%,25.0809%
2016/07/15,511010,254482.98,,2245.98,113.306,254482.98,303.21,0.1193%,24.3017%
2016/07/15,511880,251255.67,,2238.28,112.254,251255.67,33.57,0.0134%,23.9935%
2016/07/15,518880,278801.4,,96974.4,2.875,278801.4,290.92,0.1045%,26.6239%
2016/07/15,总结,1047183.03,0,,,,928.72,0.0888%,
2016/07/18,510300,261739.92,,75255.87,3.478,261739.92,-903.07,-0.3438%,25.0372%
2016/07/18,511010,254543.62,,2245.98,113.333,254543.62,60.64,0.0238%,24.3488%
2016/07/18,511880,251289.25,,2238.28,112.269,251289.25,33.57,0.0134%,24.0375%
2016/07/18,518880,277831.65,,96974.4,2.865,277831.65,-969.74,-0.3478%,26.5765%
2016/07/18,总结,1045404.43,0,,,,-1778.6,-0.1698%,
2016/07/19,510300,260460.57,,75255.87,3.461,260460.57,-1279.35,-0.4888%,24.9292%
2016/07/19,511010,254714.31,,2245.98,113.409,254714.31,170.69,0.0671%,24.3792%
2016/07/19,511880,251311.63,,2238.28,112.279,251311.63,22.38,0.0089%,24.0535%
2016/07/19,518880,278316.52,,96974.4,2.87,278316.52,484.87,0.1745%,26.6382%
2016/07/19,总结,1044803.03,0,,,,-601.41,-0.0575%,
2016/07/20,510300,259933.77,,75255.87,3.454,259933.77,-526.79,-0.2023%,24.9152%
2016/07/20,511010,254864.79,,2245.98,113.476,254864.79,150.48,0.0591%,24.4293%
2016/07/20,511880,251322.82,,2238.28,112.284,251322.82,11.19,0.0045%,24.0898%
2016/07/20,518880,277152.83,,96974.4,2.858,277152.83,-1163.69,-0.4181%,26.5657%
2016/07/20,总结,1043274.22,0,,,,-1528.81,-0.1463%,
2016/07/21,510300,261288.38,,75255.87,3.472,261288.38,1354.61,0.5211%,25.0741%
2016/07/21,511010,255008.53,,2245.98,113.54,255008.53,143.74,0.0564%,24.4715%
2016/07/21,511880,251329.54,,2238.28,112.287,251329.54,6.71,0.0027%,24.1184%
2016/07/21,518880,274437.55,,96974.4,2.83,274437.55,-2715.28,-0.9797%,26.3360%
2016/07/21,总结,1042064.0,0,,,,-1210.22,-0.1160%,
2016/07/22,510300,259105.96,,75255.87,3.443,259105.96,-2182.42,-0.8353%,24.8846%
2016/07/22,511010,254963.62,,2245.98,113.52,254963.62,-44.92,-0.0176%,24.4868%
2016/07/22,511880,251365.35,,2238.28,112.303,251365.35,35.81,0.0142%,24.1412%
2016/07/22,518880,275795.19,,96974.4,2.844,275795.19,1357.64,0.4947%,26.4874%
2016/07/22,总结,1041230.12,0,,,,-833.89,-0.0800%,
2016/07/25,510300,259030.7,,75255.87,3.442,259030.7,-75.26,-0.0290%,24.9116%
2016/07/25,511010,254934.42,,2245.98,113.507,254934.42,-29.2,-0.0115%,24.5176%
2016/07/25,511880,251398.92,,2238.28,112.318,251398.92,33.57,0.0134%,24.1776%
2016/07/25,518880,274437.55,,96974.4,2.83,274437.55,-1357.64,-0.4923%,26.3933%
